Forma_sombrero,Forma_sombrero_C,Superficie_sombrero,Superficie_sombrero_C,Superficie_sombrero,Superficie_sombrero_C,Magulladuras,Magulladuras_C,Olor,Olor_C,Tipo_membrana,Tipo_membrana_C,Espaciado_membrana,Espaciado_membrana_C,Tamaño_membrana,Tamaño_membrana_C,Color_membrana,Color_membrana_C,Forma_tronco,Forma_tronco_C,Raiz_tronco,Raiz_tronco_C,Sup_tronco_arriba_anillo,Sup_tronco_arriba_anillo_C,Sup_tronco_debajo_anillo,Sup_tronco_debajo_anillo_C,ColorTronco_arriba_anillo,ColorTronco_arriba_anillo_C,ColorTronco_debajo_anillo,ColorTronco_debajo_anillo_C,Tipo_velo,Tipo_velo_C,Color_velo,Color_velo_C,Cantidad_anillos,Cantidad_anillos_C,Tipo_anillo,Tipo_anillo_C,Color_esporas,Color_esporas_C,Poblacion,Poblacion_C,Habitat,Habitat_C,Clase,Clase_C,id,weight,cluster
abotonada,50,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,14,1,6
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,15,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,16,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,17,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,18,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,19,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,20,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,21,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,22,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,23,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,24,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,25,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,26,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,27,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,28,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,29,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,30,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,31,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,32,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,33,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,34,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,35,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,36,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,37,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,38,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,39,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,40,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,41,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,42,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,43,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,44,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,45,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,46,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,47,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,48,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,49,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,50,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,51,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,52,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,53,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,54,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,55,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,56,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,57,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,58,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,59,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,60,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,61,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,62,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,63,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,64,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,65,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,66,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,67,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,68,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,69,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,70,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,71,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,72,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,73,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,74,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,75,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,76,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,77,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,78,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,79,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,80,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,81,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,82,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,pescado,7,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,83,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,bosque,2,venenoso,2,84,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,blanco,2,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,hojas,4,venenoso,2,85,1,2
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,86,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,suave,4,blanco,2,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,87,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,suave,4,suave,4,rosa,9,blanco,2,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,88,1,7
abotonada,1,escamosa,1,escamosa,1,no,2,hediondo,5,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,89,1,3
abotonada,1,escamosa,1,escamosa,1,no,2,especioso,4,libre,2,cercano,1,fina,2,piel,8,conica,2,Desconocido,5,sedosa,3,sedosa,3,rosa,9,rosa,9,parcial,1,blanco,2,uno,1,evanescente,1,blanca,2,varios,6,caminos,3,venenoso,2,90,1,3
